Title,Genre,Year,Score,Description
Inception,"Action, Adventure, Sci-Fi",2010,8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.
The Dark Knight Rises,"Action, Thriller",2012,8.4,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane."
Interstellar,"Adventure, Drama, Sci-Fi",2014,8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
Django Unchained,"Drama, Western",2012,8.4,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
Avengers Assemble,"Action, Adventure, Sci-Fi",2012,8.1,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
The Wolf of Wall Street,"Biography, Comedy, Crime",2013,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Shutter Island,"Mystery, Thriller",2010,8.1,"In 1954, a U.S. Marshal investigates the disappearance of a murderer, who escaped from a hospital for the criminally insane."
Guardians of the Galaxy,"Action, Adventure, Comedy",2014,8.1,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.
The Hunger Games,"Adventure, Sci-Fi, Thriller",2012,7.2,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
Deadpool,"Action, Adventure, Comedy",2016,8.0,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.
Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Fantasy",2015,8.0,"Three decades after the Empire's defeat, a new threat arises in the militant First Order. Stormtrooper defector Finn and the scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker."
Mad Max: Fury Road,"Action, Adventure, Sci-Fi",2015,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
Gone Girl,"Crime, Drama, Mystery",2014,8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
The Hobbit: An Unexpected Journey,"Adventure, Family, Fantasy",2012,7.9,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
Gravity,"Drama, Sci-Fi, Thriller",2013,7.7,Two astronauts work together to survive after an accident which leaves them stranded in space.
Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy",2011,8.1,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
Iron Man 3,"Action, Adventure, Sci-Fi",2013,7.2,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
Toy Story 3,"Animation, Adventure, Comedy",2010,8.3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
Thor,"Action, Adventure, Fantasy",2011,7.0,"The powerful, but arrogant god Thor, is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
The Martian,"Adventure, Drama, Sci-Fi",2015,8.0,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
Untouchable,"Biography, Comedy, Drama",2011,8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
Black Swan,"Drama, Thriller",2010,8.0,"A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity."
Man of Steel,"Action, Adventure, Fantasy",2013,7.1,"Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction."
Captain America: The First Avenger,"Action, Adventure, Sci-Fi",2011,6.9,"Steve Rogers, a rejected military soldier transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization."
Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi",2014,7.8,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
Iron Man 2,"Action, Sci-Fi",2010,7.0,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy."
Avengers: Age of Ultron,"Action, Adventure, Sci-Fi",2015,7.4,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
The Grand Budapest Hotel,"Adventure, Comedy, Drama",2014,8.1,"The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend."
